caught,steps,path_length,final_distance,time
False,2000,426,20,4.539680004119873
False,2000,424,20,4.4954047203063965
False,2000,434,22,4.5862672328948975
False,2000,424,19,5.525498867034912
False,2000,423,18,4.978317975997925
False,2000,421,20,4.866605043411255
False,2000,431,16,4.911211013793945
False,2000,421,15,4.939146995544434
False,2000,427,19,4.986399173736572
False,2000,425,14,5.686755895614624
False,2000,424,18,5.796382188796997
False,2000,428,13,5.149137020111084
False,2000,422,17,5.203115940093994
False,2000,420,17,5.1811230182647705
False,2000,418,19,5.2118821144104
False,2000,430,20,5.987962961196899
False,2000,426,15,6.230007171630859
False,2000,422,15,5.2752368450164795
False,2000,424,20,5.296493053436279
False,2000,422,20,5.340441703796387
